[ingest] nhl.api_web: reachable (200) https://api-web.nhle.com/v1/scoreboard/now
[ingest] nhl.stats_rest: reachable (200) https://api.nhle.com/stats/rest/en/team
[ingest] nhl.api_v1: unreachable (None) https://api.nhl.com/api/v1/teams
[ingest] nhl.legacy_statsapi: unreachable (None) https://statsapi.web.nhl.com/api/v1/teams
[ingest] nhl.edge: reachable (200) https://api-web.nhle.com/v1/edge/skater-speed-top-10/F/max/20252026/2
[ingest] nhl.stats_rest_game: reachable (200) https://api.nhle.com/stats/rest/en/goalie/summary?isAggregate=false&isGame=true&limit=1&cayenneExp=seasonId=20252026%20and%20gameTypeId=2
[ingest] nhl.partner_odds: reachable (200) https://api-web.nhle.com/v1/partner-game/US/now
[ingest] kalshi.trade_api: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLGAME&limit=5
[ingest] kalshi.candles: reachable (200) https://api.elections.kalshi.com/trade-api/v2/series/KXNHLGAME/markets/KXNHLGAME-26SEP19VGKLA-VGK/candlesticks?start_ts=1789603200&end_ts=1789905600&period_interval=60
[ingest] kalshi.historical: reachable (200) https://api.elections.kalshi.com/trade-api/v2/historical/cutoff
[ingest] kalshi.settled_markets: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLGAME&limit=3&status=settled
[ingest] kalshi.spread: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLSPREAD&limit=3
[ingest] kalshi.overtime: reachable (200) https://api.elections.kalshi.com/trade-api/v2/historical/markets?series_ticker=KXNHLOVERTIME&limit=3
[ingest] polymarket.gamma: reachable (200) https://gamma-api.polymarket.com/events?tag_slug=nhl&closed=false&limit=1
[ingest] espn.nhl_api: reachable (200) https://site.api.espn.com/apis/site/v2/sports/hockey/nhl/injuries
[ingest] espn.nhl_scoreboard: reachable (200) https://site.api.espn.com/apis/site/v2/sports/hockey/nhl/scoreboard?dates=20251115&limit=1
[ingest] openmeteo.archive: reachable (200) https://api.open-meteo.com/v1/forecast?latitude=40.75&longitude=-73.99&current=temperature_2m
[ingest] moneypuck.downloads: reachable (200) https://moneypuck.com/data.htm
[ingest] kalshi.period: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHL1P&limit=2&status=open
[ingest] kalshi.period_total: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHL1PTOTAL&limit=2&status=open
[ingest] kalshi.team_total: reachable (200) https://api.elections.kalshi.com/trade-api/v2/series?category=Sports&tags=Hockey
[ingest] kalshi.regulation: reachable (200) https://api.elections.kalshi.com/trade-api/v2/series?category=Sports&tags=Hockey
[ingest] kalshi.player_props: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLGOAL&limit=2&status=open
[ingest] kalshi.goalie_props: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLSAVES&limit=2&status=open
[ingest] kalshi.futures: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHL&limit=2&status=open
[ingest] kalshi.alternate: reachable (200) https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXNHLTOTAL&limit=5&status=open
[ingest] teams: 62 franchise rows from api.nhle.com/stats/rest/en/team
[ingest] standings: 32 team rows as of 2025-04-17
[ingest] standings: 32 team rows as of 2026-04-17
[ingest] standings: 0 team rows as of ?
[ingest] club schedule ANA 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule BOS 20242025: 89 games (0 new, 89 updated)
[ingest] game 2024010106: unknown team id [7509] - skipped
[ingest] club schedule BUF 20242025: 89 games (0 new, 88 updated)
[ingest] club schedule CGY 20242025: 90 games (0 new, 90 updated)
[ingest] club schedule CAR 20242025: 103 games (0 new, 103 updated)
[ingest] club schedule CHI 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule CBJ 20242025: 90 games (0 new, 90 updated)
[ingest] club schedule COL 20242025: 95 games (0 new, 95 updated)
[ingest] club schedule DAL 20242025: 106 games (0 new, 106 updated)
[ingest] club schedule DET 20242025: 90 games (0 new, 90 updated)
[ingest] club schedule EDM 20242025: 112 games (0 new, 112 updated)
[ingest] club schedule FLA 20242025: 113 games (0 new, 113 updated)
[ingest] club schedule LAK 20242025: 94 games (0 new, 94 updated)
[ingest] club schedule MIN 20242025: 94 games (0 new, 94 updated)
[ingest] club schedule MTL 20242025: 93 games (0 new, 93 updated)
[ingest] club schedule NSH 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule NJD 20242025: 94 games (0 new, 94 updated)
[ingest] club schedule OTT 20242025: 95 games (0 new, 95 updated)
[ingest] club schedule PHI 20242025: 89 games (0 new, 89 updated)
[ingest] club schedule PIT 20242025: 89 games (0 new, 89 updated)
[ingest] club schedule SEA 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule SJS 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule STL 20242025: 96 games (0 new, 96 updated)
[ingest] club schedule TBL 20242025: 94 games (0 new, 94 updated)
[ingest] club schedule TOR 20242025: 101 games (0 new, 101 updated)
[ingest] club schedule UTA 20242025: 89 games (0 new, 89 updated)
[ingest] club schedule VAN 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule VGK 20242025: 99 games (0 new, 99 updated)
[ingest] club schedule WSH 20242025: 98 games (0 new, 98 updated)
[ingest] club schedule WPG 20242025: 101 games (0 new, 101 updated)
[ingest] club schedule NYI 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule NYR 20242025: 88 games (0 new, 88 updated)
[ingest] club schedule ANA 20252026: 101 games (0 new, 101 updated)
[ingest] club schedule BOS 20252026: 94 games (0 new, 94 updated)
[ingest] club schedule BUF 20252026: 101 games (0 new, 101 updated)
[ingest] club schedule CGY 20252026: 90 games (0 new, 90 updated)
[ingest] club schedule CAR 20252026: 107 games (0 new, 107 updated)
[ingest] club schedule CHI 20252026: 88 games (0 new, 88 updated)
[ingest] club schedule CBJ 20252026: 89 games (0 new, 89 updated)
[ingest] club schedule COL 20252026: 101 games (0 new, 101 updated)
[ingest] club schedule DAL 20252026: 94 games (0 new, 94 updated)
[ingest] club schedule DET 20252026: 90 games (0 new, 90 updated)
[ingest] club schedule EDM 20252026: 96 games (0 new, 96 updated)
[ingest] club schedule FLA 20252026: 89 games (0 new, 89 updated)
[ingest] club schedule LAK 20252026: 93 games (0 new, 93 updated)
[ingest] club schedule MIN 20252026: 99 games (0 new, 99 updated)
[ingest] club schedule MTL 20252026: 107 games (0 new, 107 updated)
[ingest] club schedule NSH 20252026: 88 games (0 new, 88 updated)
[ingest] club schedule NJD 20252026: 89 games (0 new, 89 updated)
[ingest] club schedule OTT 20252026: 92 games (0 new, 92 updated)
[ingest] club schedule PHI 20252026: 99 games (0 new, 99 updated)
[ingest] club schedule PIT 20252026: 95 games (0 new, 95 updated)
[ingest] club schedule SEA 20252026: 88 games (0 new, 88 updated)
